creator,video_title,link,upload_date,period,food_type,portion_size,views,likes,comments,food_quantity,calories
ErikTheElectric,I Let AI Control Every Meal for Two Weeks,https://www.youtube.com/watch?v=i3q5uZmvky8,2026-01-17,recent,mixed/unknown,super extreme,4663395,161958,8947,000 calorie burger,10000
ErikTheElectric,I Survived The World's Heaviest People's Diets for 7 Days,https://www.youtube.com/watch?v=LkNO9erQ82Y,2025-08-09,recent,mixed/unknown,super extreme,12597224,292628,18920,000 calories: https://youtu; 000 calorie burger,100000
ErikTheElectric,I Ate The Biggest Foods on the Internet for 10 Days,https://www.youtube.com/watch?v=YFS3E8EiOT8,2025-02-25,recent,mixed/unknown,super extreme,9759599,261987,17526,000 calories: https://youtu; 000 calorie burger,100000
ErikTheElectric,I Let Popular Food Companies Control My Diet For 7 Days,https://www.youtube.com/watch?v=NyKAerEoB-U,2024-10-07,recent,mixed/unknown,super extreme,13353904,292084,18972,000 calories: https://youtu; 000 calorie burger,100000
ErikTheElectric,I Finished The ENTIRE Menu Everywhere My Tesla Took Me for a Week,https://www.youtube.com/watch?v=D7UqN8_kTpg,2024-06-09,recent,fast food/mixed,super extreme,15658181,327867,16761,000 calories: https://youtu; 000 calorie burger,100000
ErikTheElectric,I Let Fast Food Companies Control My Diet for a Week,https://www.youtube.com/watch?v=R251drj4HjI,2024-02-27,recent,mixed/unknown,super extreme,18106977,399823,17921,000 calories: https://youtu; 000 calorie burger,100000
ErikTheElectric,I Survived 7 World Record Food Challenges In 7 Days,https://www.youtube.com/watch?v=w9XP-naXz_M,2023-12-23,recent,mixed/unknown,super extreme,7115002,175747,8514,000 calories in 15 minutes: https://youtu; 000 calories: https://youtu; 000 calorie burger,15000
ErikTheElectric,I Let The FAMILY In Front Of Me Choose What I Eat For 24 Hours!,https://www.youtube.com/watch?v=iViFbBbvENU,2023-11-12,recent,mixed/unknown,super extreme,21799202,507993,15328,000 calories: https://youtu; 000 calorie burger,100000
ErikTheElectric,I Survived The Biggest Daily Diet In NFL History,https://www.youtube.com/watch?v=aJLPPck6_CA,2023-10-01,recent,mixed/unknown,super extreme,6318654,125794,6215,000 calories: https://youtu; 000 calorie burger,100000
ErikTheElectric,"10,000+ Calorie Burger Challenge with @WillTennyson",https://www.youtube.com/watch?v=HWio7aeXww4,2023-09-17,recent,burger,extreme,2803745,160255,533,,
