Username,Video URL,Views,Likes,Comments,Favorites,Shares,Hook,Music,Caption,Face/Faceless,Video Language,Format Type,Hashtags,,hook                       nutella stuffed pancakes basic recipe'                  ,Frequency,,Frequency,,Frequency,,Frequency,,Frequency,,Frequency
Giorgiafitfood,https://www.tiktok.com/@giorgiafitfood/video/7202215743339973893,169200000,11000000,37700,2900000,953400,nutella Stuffed Pancakes Basic Recipe',Just The Two of Us,I’m obsessed! Recipe on IG giorgiapaino 🍫🥞💌   ,faceless,english,video,#nutella #nutellalover #pancake #nutellapancake,,chicken,34,faceless,386,#fyp,82,english,438,video,453,the,923
Brooke Schrempf-Dixon,https://www.tiktok.com/@aussiemumcooks/video/7234362898707975426,125800000,2700000,4616,197000,27300,1 staple ingredient 3 budget meals #3- Keens Curried Sausages',original sound,"Meal #3 of 3 from our 1 staple ingredient, 3 different budget meals that are all freezer & family friendly to help spread the cost of your groceries. Tonight is the well loved classic curried sausages.  @KEEN’S Australia ",faceless,english,video,#keenscurry #keenasmustard #keensbudgetdinner #ad,,my,30,face,98,#easyrecipe,62,russian,15,slideshow,32,and,776
Brooke Schrempf-Dixon,https://www.tiktok.com/@aussiemumcooks/video/7233252457072037122,108400000,1700000,2301,99100,12300,1 staple ingredient 3 budget meals #2- curry cottage pie',original sound,Episode 2 | Meal #2 of 3 Using 1 staple ingredient to make 3 different budget meals that are all freezer & family friendly to help spread the cost of your groceries. Our second dinner is: curry cottage pie.  @KEEN’S Australia ,faceless,english,video,#keenscurry #keenasmustard #keensbudgetdinner #ad,,to,29,#VALUE!,14,#recipe,57,#VALUE!,14,#VALUE!,14,to,522
Brooke Schrempf-Dixon,https://www.tiktok.com/@aussiemumcooks/video/7236175298067287297,105200000,3000000,5234,371100,55400,Under $10 dessert!! Aeroplane Jelly Flummery',original sound,Tonight’s $10 meal challenge is a dessert!  This old school flummery is a cheap and easy dessert that takes me back to my childhood. What’s even better is if you don’t want to garnish with cream and strawberries it’s only a $3.10 recipe for 8 servings.  @i_like_aeroplane_jelly ,faceless,english,video,#aeroplanejelly #jellygoodtimes #ad,,make,26,arabic,1,#food,47,spanish,7,format,1,a,469
Here’s Your Bite,https://www.tiktok.com/@heresyourbite/video/7468760085834075435,97500000,313900,1025,104500,39000,CHICKEN BROCCOLI RICE CASSEROLE,Intergalactic Janet,"Cheesy Chicken Broccoli Rice Casserole ❤️‍🔥 Made with @knorr Cheddar Broccoli Rice #KnorrPartner Here’s how to make it: 2 packages Knorr ® Rice Sides™ - Cheddar Broccoli 1 lb chicken breasts  Olive oil Salt and pepper, to taste 1 tsp onion powder 1 tsp garlic powder 1 tsp smoked paprika 3-4 cups broccoli florets, steamed or roasted (see note) 4 oz pancetta (optional) 2 tbsp butter ½ onion, finely diced  4 cloves garlic, minced 2 tbsp flour ½ cup dry white wine (optional) 1 cup chicken broth made with Knorr chicken bouillon 1 cup milk (or half-and-half), room temp 1 tsp Maille Dijon mustard 1 tsp Worcestershire sauce 1/4 tsp cayenne pepper 8 oz freshly shredded cheddar cheese 1/2 cup sour cream, room temp 1/2 cup panko breadcrumbs (optional) 2 tbsp butter, melted (for panko topping) Fresh chives, finely chopped (for garnish) 1. Add the pancetta to a cold pan. Turn the heat to medium and cook until crispy. Drain on a paper towel and set aside, leaving the leftover grease in the pan. 2. Season the chicken breasts with salt, pepper, garlic powder, onion powder, and smoked paprika. Add a touch of olive oil to the pan, if needed. Cook the chicken for 5-6 minutes per side, or until fully cooked. Let rest, then shred and set aside. 3. Steam the broccoli until tender. Set aside. *Note: Roasting the broccoli: Toss broccoli florets with olive oil, salt, and pepper. Roast at 425°F for 15-20 minutes, until slightly charred.  4. Cook both packages of Knorr ® Rice Sides™ - Cheddar Broccoli according to the package instructions and set aside. 5. Preheat the oven to 350F 6. In the same pan, melt 2 tbsp butter and add the diced onion. Sauté for 2-3 minutes, until softened. Add the minced garlic and cook for 30 seconds, until fragrant.  7. Whisk in the flour and cook for 1-2 minutes. 8. Deglaze the pan with white wine, scraping up and brown bits on the bottom of the pan. Let that cook for another 1-2 minutes.  9. Slowly add the Knorr chicken broth, whisking constantly to avoid lumps, then stir in the room temp milk. Add Dijon mustard, Worcestershire sauce, cayenne pepper, and salt and pepper to taste. Cook for 3-5 minutes, until thickened. Remove from heat. 10. In a large mixing bowl, combine the cooked rice, shredded chicken, broccoli, pancetta, creamy base, sour cream, and half the shredded cheddar cheese. Mix until evenly combined. 11. Pour the mixture into a greased 9x13-inch baking dish and smooth the top. Sprinkle over the remaining cheddar cheese. 12. Combine panko breadcrumbs with melted butter. Sprinkle over the casserole (optional).  13. Bake uncovered for 25-30 minutes, or until bubbly and golden on top. 14. Garnish with freshly chopped chives and enjoy! ",faceless,english,video,#casserole #dinner #dinnerideas #easydinner #easydinnerideas #easyrecipes #weeknightdinner #weeknightmeals #broccolicheddar ,,the,25,face/faceless,1,#baking,40,arabic,6,type,1,1,381
Chelsea Lyn Home,https://www.tiktok.com/@chelsealynhome/video/7418878996252806446,79600000,3700000,10800,636100,672700,pov: you have an air fryer 🍁🍫🍂✨❤️',original sound,i’m obessed with the viral Air Fryer S’mores Dip! 🤎 add marshmallows to your air fryer  for about 4 minutes at 350F! then add chocolate for about 1 minute! It’s super easy to make and tastes so good! The perfect quick and easy dessert idea! ✨🤩 ,faceless,english,video,#airfryersmores #dessert #fall #falltreats #smores #smoresdip #dessertideas #airfryerrecipes #airfryerdesserts #airfryer #fallseason #autumn #easyrecipes #autumnvibes #cozy #cookies #baking #amazonfinds #amazon #amazonmusthaves #homemade #homefinds #asmr #asmrsounds #amazonfavorites #asmr #restock #restocking #asmrsounds #satisfyingsounds #satisfyingvideo ,,chocolate,23,,,#foodtok,39,french,5,,,in,380
Patricja | recipes & fitness,https://www.tiktok.com/@patiispage/video/7305797297982524705,71100000,2200000,4793,900100,205400,viral 5 minute BREAKFAST SANDWICH',original sound,"Redo of my viral 5 minute breakfast sandwich - this time with other ingredients 🥑✨ Ingredients: - 2 brioche toasts - 2 eggs - 1 slice of Gouda cheese - Handful of cherry tomatoes, sliced - 1/2 avocado, sliced - Handful of iceberg lettuce - Salt and pepper to taste - Butter or oil for cooking Macros: 610kcal / 25g proteins / 40g carbs / 30g fats ",faceless,english,video,#breakfastsandwich #5minutesandwich #quickrecipe #simplebreskfast #healthy #foodtok,,you,23,,,#easyrecipes,35,german,3,,,-,362
Gordon Ramsay,https://www.tiktok.com/@gordonramsayofficial/video/7380749671632882977,70100000,6700000,98300,466100,991200,AN IMPORTANT MESSAGE,original sound,"Sound ON for this one…with #FathersDay tomorrow I have very important message for all the dads out there…WEAR A HELMET ! This week I had a really bad accident while riding my bike in Connecticut. I'm doing ok and did not break any bones or suffer any major injuries but I am a bit bruised up looking like a purple potato. I’m thankful for all the doctors, nurses and staff at Lawerence + Memorial Hospital in New London who looked after me and checked me out, but most thankful for my helmet that saved my life. Have a great Father’s Day and be safe Gx",face,english,video,#FathersDay,,and,22,,,n/a,34,indonesian,2,,,of,362
fitwaffle,https://www.tiktok.com/@fitwaffle/video/6952895507979095302,64200000,7100000,114000,1100000,489000,3-Ingredient Oreo Cake',Starstruck,3-Ingredient Oreo Cake with no oven ,faceless,english,video,#oreo #cake #chocolate #tiktokfood #foodtok,,for,20,,,#cooking,33,turkish,2,,,for,344
Nico,https://www.tiktok.com/@succulentbite/video/7210104326658788650,61000000,310000,4567,3607,30200,NERDS ICE CREAM,original sound,COLORFUL GUMMY ICE CREAM 😍 With @nerdscandy  gummy clusters for a unique and bold ice cream 🤤 ,faceless,english,video,#food #GummyClusters #dessert,,i,18,,,#foodie,31,undefined,2,,,with,266
