User Ethnicity,Food Shown,Tags Used,Likes,Favorites,Shares,Top Comment,Link
N/A,"Western & Asian, 16 slides Western, One Asian",#foodtok #aestheticfood #recipes #cooking #baking,978.5K,162.2K,42.6K,“@crumbl: why does everything look so perfect and clean”,https://vt.tiktok.com/ZSun12B23/
White,Western,#dinner #raisingcaines #chicken #tiktokrecipe #recipesoftiktok #dinneridea #homecooking,315.9K,146.5K,62.3K,“@Derex: Chicken lowkey looks like fried chicken”,https://vt.tiktok.com/ZSun1tonH/
N/A,Non-Specific (salad),#healthyfoods #recipe #fyp #viral #glowup,129.4K,22.9K,"1,786",“@Nusiisbest.privv😊😝: How abt less and healtyer?”,https://vt.tiktok.com/ZSunS3hXo/
Algerian,Non-Specific (coffee),#algerie #fyp #fyp:)viral #naveyvibes #arianagrande,342.4K,54.3K,17.6K,“@Gâteaux . S 🇩🇿: من قلب الحدث” TL: This is from my heart,https://vt.tiktok.com/ZSunAmC4G/
WANA/MENA (unspecified),Arab,#recipe #shawarma #food #dinner #cooking,206.8K,57K,26.9K,"""@unknownnn513: Am I the only one who hates thigh 😭, I’d use breast like I’m not being one of those people, that are like I don’t like thigh what can I use😂. I’m just generally saying why is it so squidgy 😭😭 I can’t handle the texture when cooked""",https://www.tiktok.com/@moribyan/video/7616108157886008590?is_from_webapp=1&sender_device=pc
Latino,Mexican,#beef #tacos #Recipes #Foodtok,11.1M,3.9M,2.6M,"""@☆꙳∘ɢᴜᴍᴅʀᴏᴘ🫧꙳∘: Wait I can actually make this""",https://www.tiktok.com/@aflavorfulbite/video/7566237194558491917?is_from_webapp=1&sender_device=pc
Latina(? Unclear),Western,#tannersprimeburgers #burger#giantburger#burgermukbang#mukbang#mukbangeatingshow#mukbangfoodasmr#eatingshow#eatwithme#foodvideo#foodasmr#bigbites#asmrsounds#asmreating#asmrvideo,1.8M,118.8K,417.6K,"""@haterrso: why are these places never near me""",https://www.tiktok.com/@keilapacheco/video/7612744885656931598?is_from_webapp=1&sender_device=pc
White,Western,#girltherapy #baking #baketok #chocolatechipcookies #fyp ,490.8K,35.3K,7503,"""@D: did u put a tear in it? (please get the reference)""",https://www.tiktok.com/@emmasfooddiaries/video/7600618522653314312?is_from_webapp=1&sender_device=pc
White,Western,#recipes #easyrecipe #cooking #dinnerideas #yummyfood #dinnermadeeasy #foodtok #homecooking #quickrecipes #simplemeals #easycooking #foodideas #whatsfordinner #familymeals #tasty #comfortfood #fyp #foryou #foryoupage #viralfood #foodtrend,115.3K,13.4K,19K,"""@Daily Inspirations Kzn: Just soak chips in water and salt and vinegar.30 minutes to get that crispy taste.""",https://www.tiktok.com/@cooking_recipescr/video/7598662468918922510?is_from_webapp=1&sender_device=pc
White,"Mexican(? Complicated, its Chipotle)",#wrap #EasyRecipes #chickenwrap #burrito,277.5K,134K,93.1K,"""@okutara Don’t trust anyone who only pretends to eat.""",https://www.tiktok.com/@ayline.ea/video/7611219493079010563?is_from_webapp=1&sender_device=pc
N/A,Western & Asian,#food #mukbang #tiktokfood #foryoupage #fypシ ,777.5K,50.6K,595.6K,"""@ꨄvickyꨄ: Jokes on you im eating""",https://www.tiktok.com/@colacoca0900/video/7598025460680903966?is_from_webapp=1&sender_device=pc
Latina,Unclear,#comida #cocina #rico #humor #madre ,1M,57K,77.8K,"""@Liz García: Absolute pozole Photo""",https://www.tiktok.com/@smar_ria/video/7595830770028006663?is_from_webapp=1&sender_device=pc
White,Western,#macncheese #food #cheese #yumyum ,1.7M,193.7K,278.6K,"""@¿ ,, 𝒏𝒙𝒄 ,, ?: This either tastes like nothing or it's pure heaven""",https://www.tiktok.com/@katieswaiting/video/7616110376614219022?is_from_webapp=1&sender_device=pc
Korean,Korean,#大食い #mukbang #大胃王 #asmr #ryomaASMR #shorts #먹방 #음식 #asmr먹방 #대식가 #맛있다 #한식 #kfood #koreanfood #shots,183.4K,18.7K,17.7K,"""@🤥la 🚏🤫: I missed these og mukbags""",https://www.tiktok.com/@beohaliglc8/video/7594546651650346260?is_from_webapp=1&sender_device=pc
Unclear (but non-white),Mexican,#taquitos #EasyRecipe #foodtiktok,261.9K,88.7K,56.4K,"""@Empa🥟: I’m sorry, but those are flautas""",https://www.tiktok.com/@aflavorfulbite/video/7610410662052859149?is_from_webapp=1&sender_device=pc
White,Western,#pizza #911pizza #fypppppppppppppp #pizzamukbang #relatable ,1.8M,79.7K,378.4K,"""ّ@: this is the first time a video is funnier than the comment section""",https://www.tiktok.com/@zainasalv/video/7617079027639127328?is_from_webapp=1&sender_device=pc
White,Western,N/A,215.4K,36.3K,19.6K,"""@SINGH⚔️🪯⚔️: Wow we watched him grow up""",https://www.tiktok.com/@cooking_with.kian/video/7604176036208610574?is_from_webapp=1&sender_device=pc
White,Western,#creatorsearchinsights #creatorinsights #nutellapancake #chocolatepancakes #pancakes ,3.2M,519.1K,630.7K,"""@Qassim: One sniff and u gain 5 calories""",https://www.tiktok.com/@archersfood/video/7609043578295192854?is_from_webapp=1&sender_device=pc
White,Western,"(Not literally tagged) Nutella chocolate rolls recipe, delicious Nutella dessert recipe, homemade chocolate rolls, easy Nutella rolls, quick dessert ideas, Nutella recipes for chocolate lovers, find Nutella chocolate rolls, archersfood dessert recipes",1.3M,234.3K,445.7K,"""@Пятка🦶🏿: After first bite Photo""",https://www.tiktok.com/@archersfood/video/7610135716886056214?is_from_webapp=1&sender_device=pc
WANA/MENA (Unspecified),Asian,#ramen  #dumplings  #steakramen  #lazygirl  #foodtok  ,122.2K,26K,26.3K,"""@Roo: I’m fascinated by people who can just casually make steak. I have to plan it like 3 weeks in advance cause I’ve convinced myself it’s hard""",https://www.tiktok.com/@cookingwzainab/video/7548826611722833174?is_from_webapp=1&sender_device=pc
N/A,Japanese,#sushi #funny #oklahoma #nhinja #okc ,266.9K,12.6K,196.7K,"""@Lulu: Sushi… with a fork? 🫩""",https://www.tiktok.com/@nhinjasushi/video/7602042714913262879?is_from_webapp=1&sender_device=pc
Unclear (but non-white),Mexican,#honey #chipotle #chickentacos #Recipe #foodtok,677.4K,223.7K,176.9K,"""@𝕽𝖚𝖘𝖍𝖉a♡: How did u make the sauce?""",https://www.tiktok.com/@aflavorfulbite/video/7615590207886331150?is_from_webapp=1&sender_device=pc
