id,submittedVideoUrl,video_id,creator,caption,hashtags,cultural_theme,views,likes,comments,shares,upload_date,platform,notes
tiktok_7499819778819853590,https://www.tiktok.com/@sofia.bebej/video/7499819778819853590?q=%23ProteinCoffee&t=1774303932519,7499819778819853590,@sofia.bebej,20g protein coffee?!,,Protein-Enhanced Coffee,"924,000.00",65000,150,6949,2025-05-02,TikTok,"Influencer, ""cutesy"" content, shows an edited video of a girl mixing protein powder and milk with her coffee. The video seems as if it was meant to ""romanticize"" protein."
tiktok_7224631684212247813,https://www.tiktok.com/@eldrej/video/7224631684212247813?q=%23ProteinCoffee&t=1774303932519,7224631684212247813,@eldrej,My daily morning vanilla/caramel ice latte ☕️ 50g protein for coffee lovers ✅ Like and save 💪🏽 #protein #lifestyle #gym #fyp #trending #coffee,"#protein, #lifestyle, #gym, #fyp, #trending, #coffee",Protein-Enhanced Coffee,"856,000.00",26000,207,2286,2023-04-21,TikTok,"Shows a man in his kitchen mixing whey, milk, creatine, cofee, maple syrup, and ice. 50g of protein. Very edited and influencer-like."
tiktok_7607830213816323358,https://www.tiktok.com/@jackie.t.wright/video/7607830213816323358?q=%23ProteinCoffee&t=1774303932519,7607830213816323358,@jackie.t.wright,#coffeetok #coffeelovers #proteincoffeerecipe #proteincoffee #proffee,"#coffeetok, #coffeelovers, #proteincoffeerecipe, #proteincoffee, #proffee",Protein-Enhanced Coffee,"259,000.00",17000,241,2772,2026-02-17,TikTok,"Normal, shows a woman in her kitchen making coffee and mixing it with a premier protein vanilla shake and a chobani birthday cake creamer. Nothing fancy"
tiktok_7569975552342248726,https://www.tiktok.com/@fitfuelbyjuliana/video/7569975552342248726,7569975552342248726,@fitfuelbyjuliana,"Chocolate desserts for breakfast will always be on my menu 😎 This page is slowly just becoming an oat page and I honestly love it (almost as love as I love oats🥰) 50g oat flour* (or blended oats) 10g cocoa powder* 30g vegan chocolate protein powder* 1/2 tsp baking powder 160ml water or milk Topping: 10g dark chocolate chips* (I used sugar-free) Splash of milk :) Ingredients with a * are from @Prozis_official (Code FITFOODIEJULES will give you the biggest discount possible and support my content!) Preheat oven to 180° (350c) Combine all the ingredients to form a batter and pour into an oven safe dish/ramekin Top with the chocolate chips, then bake for 20-22 minutes. Add the splash of milk and enjoy! #bakedoats #oattok #proteinoats #proteinbreakfast #healthybreakfast","#bakedoats, #oattok, #proteinoats, #proteinbreakfast, #healthybreakfast",Protein-Enhanced Breakfast,"1,200,000.00",53000,54,3758,2025-11-07,TikTok,"Double chocolate chip cookie baked oats, shows no one on screen, just of the creator scooping and showing the contents of the bowl. Heavily edited and meant for content engagement. Advertises as having 32g of protein, the recipe is in the comments"
tiktok_7403525326900399406,https://www.tiktok.com/@justin_andersonfit/video/7403525326900399406,7403525326900399406,@justin_andersonfit,Bulking vs Cutting Protein Oats. They are similar in weight but 1 is more than double the amount of calories than the other. Bulking Oats: 845 Calories / 50g Protein 80g oats 1.5 cup 2 %milk 1 scoop protein powder 1 medium banana 1 tbsp peanut butter 1 tbsp chocolate chips Weight Loss Oats: 380 Calories / 37g Protein 40g oats 1 cup Water 1 scoop protein powder 1 cup mixed berries 2 tbsp peanut butter powder (with water) #recipe #proteinoats #gymtok #weightloss #bulking,"#recipe, #proteinoats, #gymtok, #weightloss, #bulking",Protein-Enhanced Breakfast,"2,800,000.00",159000,419,5393,2024-08-16,TikTok,"Shows the creator comparing protein oats for people trying to gain weight (bulking) vs people trying to lose weight (cutting). He makes it live on camera, showing proportions for each. Heavily edited but feels very personal. Easy to follow recipe"
tiktok_7526960218866011414,https://www.tiktok.com/@panaceapalm/video/7526960218866011414,7526960218866011414,@panaceapalm,"5 Minute No-Bake Brownie Protein Bites! 🍫💪🏽 #highprotein #browniebites #nobakeprotein #lowcaloriedessert #mealprepideas #highproteinrecipes #panaceapalm #easyrecipes #gymfood #lowcalorie #healthydessert #proteinworks #gymtok ONLY 42 calories per bite and packed with 4g of protein! Perfect to crush sweet cravings without wrecking your macros 🔥 Check out my high protein cookbooks for 150+ recipes just like this one and tracking barcodes! 📕👨🏽‍🍳 (link in bio) Makes 8 Bites 🍪 x8 Calories & Macros 📊 Per Bite: 42 Calories 4g P | 3g C | 2g F Ingredients👇🏽 - 15g cocoa powder - 20g light butter (Lurpak Light) - 20g granulated stevia (canderel) - 20g all purpose flour (heat treated - 30 seconds in the microwave to kill bacteria) - 30ml 0% milk - 30g chocolate protein powder - whey/casein blend (I use @proteinworks code PANACEA for a discount!) Tips/notes - You can refrigerate the dough for 30 minutes to get a firmer texture - Use a whey/casein protein powder blend for the best texture, just whey will give you a slightly too soft moist texture - Store them in the fridge for a quick protein snack that feels like dessert 🍫 Don’t forget to check the cookbook for 150+ recipes like this and calorie tracking barcodes! 📕👨🏽‍🍳 (link in bio)","#highprotein, #browniebites, #nobakeprotein, #lowcaloriedessert, #mealprepideas, #highproteinrecipes, #panaceapalm, #easyrecipes, #gymfood, #lowcalorie, #healthydessert, #proteinworks, #gymtok",High Protein (General),"1,400,000.00",64000,381,7078,2025-07-14,TikTok,"influencer content, does not show creator, advertises as 5-minute prep time, low calorie, and 4g of protein per protein bite, and no bake."
tiktok_7602027426062863647,https://www.tiktok.com/@hannahbentley/video/7602027426062863647,7602027426062863647,@hannahbentley,easiest high protein iced coffee in under 5 minutes🧋🤤 #proteincoffee #proffee #javvy #javvycoffee #protein @Javvy Coffee,"#proteincoffee, #proffee, #javvy, #javvycoffee, #protein",Protein-Enhanced Coffee,"1,600,000.00",6000,52,378,2026-02-01,TikTok,"Showcases a 40g protein coffee drink, using the Javvy protein shake. Influencer content, likely ad-supported."
tiktok_7371172897504759073,https://www.tiktok.com/@bodyinnovator/video/7371172897504759073,7371172897504759073,@bodyinnovator,PROTEIN SCRAMBLED OATS 🍌🍫😮‍💨 A quick and easy breakfast for you to try! Save for later •521 CALS •43g PRO Serves 1: -45g of oats -50g of banana -1 egg -150g Greek yogurt -5g peanut butter -1 tbsp of cocoa powder -1 tsp of cinnamon -10g chocolate -Scoop of protein powder #fatlossbreakfeast #fatlosstips #fatlossjourney #proteinbreakfast #bakedoatsrecipe #bakedoats #highproteinbreakfastideas,"#fatlossbreakfeast, #fatlosstips, #fatlossjourney, #proteinbreakfast, #bakedoatsrecipe, #bakedoats, #highproteinbreakfastideas",Protein-Enhanced Breakfast,"6,700,000.00",202000,929,14400,2024-05-20,TikTok,"Shows a different way of making protein oats, feels more influencer-like content, shows a before and after of the creator to appeal to those looking for recipes to be better. Easy-to-follow recipe, final product looks aesthetic"
tiktok_7594002234963152150,https://www.tiktok.com/@geo.lindsey/video/7594002234963152150,7594002234963152150,@geo.lindsey,Overnight oats >> #nutrition #breakfast #overnightoats #gymtok #workout,"#nutrition, #breakfast, #overnightoats, #gymtok, #workout",Protein-Enhanced Breakfast,"2,200,000.00",120000,276,6683,2026-01-11,TikTok,"Shows a man making overnight oats, recipe on screen, advertises as ""this is the breakfast that i eat to gain muscle and shred fat"""
tiktok_7617975186960289054,https://www.tiktok.com/@thejosephabell/video/7617975186960289054,7617975186960289054,@thejosephabell,"Recipe below! 👇 Comment “COOKBOOK” for my best high-protein recipes! 👨🏻‍🍳 3 INGREDIENT BANANA PUDDING 434 Cal | 22g Protein | $2.70 Ingredients Vanilla Greek Yogurt 32 oz | 907g Banana Instant Pudding Mix 1 pkg | 96g Nilla Wafers 40x | 140g Banana 1x | 118g Directions 1. Stir the banana pudding mix into the tub of vanilla Greek yogurt. 2. Fold in a bunch of Nilla wafers, folding them into the mixture. 3. Place in the fridge to set overnight. 4. Top with the sliced fresh banana right before serving. #highprotein #gymfood #muscle #nutrition #pudding","#highprotein, #gymfood, #muscle, #nutrition, #pudding",High Protein (General),"2,400,000.00",108000,606,61800,2026-03-16,TikTok,"Starts off with a hook, advertises as 3-ingredient, with over 88g of protein. Doesn't talk about how heavy greek yogurt is, and it can be hard to eat. Meant for engagement."
